X_CCDS_start	X_CCDS_end	gene	X_NM_identifier	X_ENST_ID	X_CCDS_ID	X_strand	X_total_CCDS_length	X_CCDS_exons	X_region	Strata	Y_sequence_classification
140854	156002	PLCXD1	NM_018390	"ENST00000399012,ENST00000381663,ENST00000381657"	CCDS14103.1	+	867	6	PAR1	PAR1	PAR1
215101	267426	PPP2R3B	NM_013239	ENST00000390665	CCDS14104.1	-	477	13	PAR1	PAR1	PAR1
511632	525371	SHOX	NM_000451	ENST00000381578	CCDS14107.1	+	879	5	PAR1	PAR1	PAR1
1361596	1388372	CSF2RA	NM_172245	"ENST00000381529,ENST00000381524"	CCDS35191.1	+	1203	11	PAR1	PAR1	PAR1
1420658	1461358	IL3RA	NM_002183	ENST00000331035	CCDS14113.1	+	1137	11	PAR1	PAR1	PAR1
1465494	1470902	SLC25A6	NM_001636	ENST00000381401	CCDS14114.1	-	897	4	PAR1	PAR1	PAR1
1482161	1531733	ASMTL	NM_004192	ENST00000381317	CCDS43917.1	-	1866	13	PAR1	PAR1	PAR1
1544371	1545451	P2RY8	NM_178129	ENST00000381297	CCDS14115.1	-	3327	1	PAR1	PAR1	PAR1
1672355	1678514	SFRS17A	NM_005088	ENST00000313871	CCDS14116.1	+	867	4	PAR1	PAR1	PAR1
1694092	1721907	ASMT	NM_004043	"ENST00000398867,ENST00000381241"	CCDS14117.1	+	1122	9	PAR1	PAR1	PAR1
2149081	2428966	DHRSX	NM_145177	ENST00000334651	CCDS35195.1	-	993	7	PAR1	PAR1	PAR1
2416675	2418760	ZBED1	NM_004729	"ENST00000381222,ENST00000381218"	CCDS14118.1	-	2085	1	PAR1	PAR1	PAR1
2619401	2668845	CD99	NM_002414	ENST00000381192	CCDS14119.1	+	558	10	PAR1	PAR1	PAR1
2680315	2742421	XG	NM_175569	ENST00000381174	CCDS14120.1	+	543	10	PAR1/XAR	PAR1	PAR1/pseudogene
2758229	2809254	GYG2	NM_003918	ENST00000381163	CCDS14121.1	+	1506	11	XAR	Stratum 5	pseudogene
2835311	2857316	ARSD	NM_001669	ENST00000381154	CCDS35196.1	-	1782	10	XAR	Stratum 5	pseudogene
2862872	2888441	ARSE	NM_000047	ENST00000381134	CCDS14122.1	-	1770	10	XAR	Stratum 5	pseudogene
2934653	2961426	ARSH	NM_001011719	ENST00000381130	CCDS35198.1	+	1689	9	XAR	Stratum 5	pseudogene
2996141	3040597	ARSF	NM_004042	"ENST00000381127,ENST00000359361"	CCDS14123.1	+	1773	10	XAR	Stratum 5	pseudogene
3237756	3271874	MXRA5	NM_015419	"ENST00000381114,ENST00000217939"	CCDS14124.1	-	8487	6	XAR	Stratum 5	pseudogene
3540240	3641294	PRKX	NM_005044	ENST00000262848	CCDS14125.1	-	1077	8	XAR	Stratum 5	pseudogene
5820857	6079507	NLGN4X	NM_181332	"ENST00000381095,ENST00000381092,ENST00000275857"	CCDS14126.1	-	2451	5	XAR	Stratum 4	gene
6461691	6462538	VCX2	NM_016378	"ENST00000398693,ENST00000317103"	CCDS35200.1	-	1392	2	XAR	Stratum 4	notAnc_addXY
6461785	6462538	VCX3A	NM_016379	ENST00000381089	CCDS35199.1	-	1209	2	XAR	Stratum 4	notAnc_addX
7147716	7278302	STS	NM_000351	ENST00000217961	CCDS14127.1	+	1752	10	XAR	Stratum 4	pseudogene
7771244	7772057	VCX	NM_013452	"ENST00000381059,ENST00000341408"	CCDS14128.1	+	1008	2	XAR	Stratum 4	notAnc_addXY
7828726	7854160	PNPLA4	NM_004650	ENST00000381042	CCDS14129.1	-	762	6	XAR	Stratum 4	pseudogene
8461035	8660077	KAL1	NM_000216	ENST00000262648	CCDS14130.1	-	2043	14	XAR	Stratum 4	pseudogene
8719351	8728212	FAM9A	NM_174951	ENST00000381003	CCDS14131.1	-	702	8	XAR	Stratum 4	notAnc_addXY
8953555	8961027	FAM9B	NM_205849	"ENST00000380975,ENST00000327220"	CCDS14132.1	-	4482	7	XAR	Stratum 4	notAnc_addX
9581626	9644286	TBL1X	NM_005647	ENST00000217964	CCDS14133.1	+	1734	15	XAR	Stratum 4	gene
9653785	9693917	GPR143	NM_000273	ENST00000380929	CCDS14134.1	-	1215	9	XAR	Stratum 4	pseudogene
9714585	9874977	SHROOM2	NM_001649	ENST00000380913	CCDS14135.1	+	4851	10	XAR	Stratum 4	pseudogene
9991578	10069541	WWC3	NM_015691	ENST00000380861	CCDS14136.1	+	3279	22	XAR	Stratum 4	pseudogene
10113072	10161624	CLCN4	NM_001830	ENST00000380833	CCDS14137.1	+	2283	11	XAR	Stratum 4	lostY
